代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12238157.739999998360872
真實報酬,2238157.739999998360872

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,8894.573105344081341
風險,230869.930222755880095
起點值,0.038526338604435
找到最佳解世代,3694
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
PG[21](2),UNH[23](1),
Stock#,PG[21](2),UNH[23](1),
張數,65841,43007,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,34.459999999962747,6.179999999701977,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4990123.850000000558794,5059349.660000000149012,10049473.510000001639128
FS( 3 ),4986831.799999999813735,4945811.179999999701977,9932642.980000000447035
FS( 4 ),5124439.490000000223517,5063650.359999999403954,10188089.849999999627471
FS( 5 ),5159993.629999999888241,4984947.549999999813735,10144941.179999999701977
FS( 6 ),5119172.209999999962747,4983657.339999999850988,10102829.550000000745058
FS( 7 ),5115880.160000000149012,4947961.529999999329448,10063841.689999999478459
FS( 8 ),5121805.850000000558794,4997849.649999999441206,10119655.500000000000000
FS( 9 ),5121147.440000000409782,4987958.040000000037253,10109105.480000000447035
FS( 10 ),5154726.350000000558794,4982367.129999999888241,10137093.480000000447035
FS( 11 ),5246245.340000000782311,5058059.449999999254942,10304304.789999999105930
FS( 12 ),5332497.049999999813735,5110527.989999999292195,10443025.039999999105930
FS( 13 ),5286408.350000000558794,5127300.719999999739230,10413709.070000000298023
FS( 14 ),5144191.790000000037253,4981076.919999998994172,10125268.709999999031425
FS( 15 ),5198181.410000000149012,5049458.049999999813735,10247639.460000000894070
FS( 16 ),5240978.059999999590218,5050748.259999999776483,10291726.320000000298023
FS( 17 ),5262047.179999999701977,5104507.009999999776483,10366554.189999999478459
FS( 18 ),5253487.850000000558794,5089454.559999999590218,10342942.410000000149012
FS( 19 ),5262047.179999999701977,5089024.489999999292195,10351071.669999998062849
FS( 20 ),5291017.219999999739230,5153104.919999998994172,10444122.139999998733401
FS( 21 ),5271923.329999999143183,5114398.620000000111759,10386321.949999999254942
FS( 22 ),5228468.269999999552965,5059349.660000000149012,10287817.929999999701977
FS( 23 ),5159993.629999999888241,5008601.399999999441206,10168595.029999999329448
FS( 24 ),5176453.879999999888241,5018062.940000000409782,10194516.820000000298023
FS( 25 ),5126414.719999999739230,4966884.609999999403954,10093299.329999998211861
FS( 26 ),5081642.840000000782311,4820660.809999999590218,9902303.650000000372529
FS( 27 ),5001975.229999999515712,4737657.299999999813735,9739632.529999999329448
FS( 28 ),5048063.929999999701977,4712713.239999999292195,9760777.169999998062849
FS( 29 ),5037529.370000000111759,4827972.000000000000000,9865501.370000001043081
FS( 30 ),4994074.309999999590218,4697660.790000000037253,9691735.099999999627471
FS( 31 ),5013826.610000000335276,4763461.500000000000000,9777288.109999999403954
FS( 32 ),4936792.640000000596046,4699381.069999999366701,9636173.710000000894070
FS( 33 ),5052014.390000000596046,4841734.239999999292195,9893748.629999998956919
FS( 34 ),4992757.490000000223517,4936779.709999999962747,9929537.199999999254942
FS( 35 ),5051355.979999999515712,4881300.679999999701977,9932656.660000000149012
FS( 36 ),5093494.219999999739230,4916996.489999999292195,10010490.709999999031425
FS( 37 ),5059915.309999999590218,4876139.839999999850988,9936055.149999998509884
FS( 38 ),5188963.669999999925494,4901083.899999999441206,10090047.570000000298023
FS( 39 ),5188305.259999999776483,4830982.489999999292195,10019287.750000000000000
FS( 40 ),5255463.079999999143183,4790125.839999999850988,10045588.919999998062849
FS( 41 ),5378585.750000000000000,4952692.299999999813735,10331278.050000000745058
FS( 42 ),5341056.379999999888241,4984087.410000000149012,10325143.789999999105930
FS( 43 ),5281799.479999999515712,4897643.339999999850988,10179442.820000000298023
FS( 44 ),5339739.559999999590218,4849045.429999999701977,10188784.989999998360872
FS( 45 ),5313403.160000000149012,4911405.580000000074506,10224808.740000000223517
FS( 46 ),5346323.660000000149012,4804748.219999999739230,10151071.879999998956919
FS( 47 ),5439817.879999999888241,4731636.319999999366701,10171454.199999999254942
FS( 48 ),5441134.700000000186265,4780664.299999999813735,10221799.000000000000000
FS( 49 ),5373976.879999999888241,4848615.359999999403954,10222592.239999998360872
FS( 50 ),5260730.360000000335276,4757440.519999999552965,10018170.879999998956919
FS( 51 ),5332497.049999999813735,4809048.919999998994172,10141545.969999998807907
FS( 52 ),5364100.729999999515712,4952262.229999999515712,10316362.959999999031425
FS( 53 ),5428624.910000000149012,5087734.279999999329448,10516359.189999999478459
FS( 54 ),5397679.640000000596046,5051178.330000000074506,10448857.970000000670552
FS( 55 ),5385169.850000000558794,5061069.940000000409782,10446239.790000000968575
FS( 56 ),5407555.790000000037253,5215465.069999999366701,10623020.859999999403954
FS( 57 ),5386486.669999999925494,5210304.229999999515712,10596790.899999998509884
FS( 58 ),5370026.419999999925494,5169447.580000000074506,10539474.000000000000000
FS( 59 ),5421382.400000000372529,5212454.580000000074506,10633836.980000000447035
FS( 60 ),5339739.559999999590218,5218045.489999999292195,10557785.049999998882413
FS( 61 ),5286408.350000000558794,5122139.879999999888241,10408548.230000000447035
FS( 62 ),5348298.890000000596046,5232667.870000000111759,10580966.760000001639128
FS( 63 ),5435209.009999999776483,5215465.069999999366701,10650674.079999998211861
FS( 64 ),5454302.900000000372529,5239118.919999998994172,10693421.820000000298023
FS( 65 ),5497099.549999999813735,5238258.779999999329448,10735358.329999998211861
FS( 66 ),5471421.559999999590218,5236538.500000000000000,10707960.059999998658895
FS( 67 ),5468787.919999999925494,5232237.799999999813735,10701025.719999998807907
FS( 68 ),5462203.819999999366701,5208153.879999999888241,10670357.699999999254942
FS( 69 ),5417431.940000000409782,5250730.809999999590218,10668162.750000000000000
FS( 70 ),5382536.209999999962747,5380181.879999999888241,10762718.089999999850988
FS( 71 ),5344348.429999999701977,5385342.719999999739230,10729691.149999998509884
FS( 72 ),5353566.169999999925494,5369430.129999999888241,10722996.300000000745058
FS( 73 ),5355541.400000000372529,5371580.479999999515712,10727121.879999998956919
FS( 74 ),5448377.209999999962747,5355667.889999999664724,10804045.099999999627471
FS( 75 ),5474713.610000000335276,5449853.219999999739230,10924566.830000000074506
FS( 76 ),5485906.579999999143183,5450713.359999999403954,10936619.939999997615814
FS( 77 ),5447718.799999999813735,5505762.320000000298023,10953481.120000001043081
FS( 78 ),5452986.079999999143183,5581884.709999999031425,11034870.789999999105930
FS( 79 ),5457594.950000000186265,5530276.309999999590218,10987871.259999999776483
FS( 80 ),5439817.879999999888241,5544468.619999999180436,10984286.500000000000000
FS( 81 ),5451669.259999999776483,5583604.990000000223517,11035274.250000000000000
FS( 82 ),5443768.340000000782311,5577153.940000000409782,11020922.280000001192093
FS( 83 ),5419407.169999999925494,5543608.479999999515712,10963015.649999998509884
FS( 84 ),5499733.190000000409782,5587475.619999999180436,11087208.809999998658895
FS( 85 ),5478664.069999999366701,5568982.610000000335276,11047646.679999999701977
FS( 86 ),5475372.019999999552965,5463615.459999999962747,10938987.480000000447035
FS( 87 ),5518168.669999999925494,5506192.389999999664724,11024361.059999998658895
FS( 88 ),5480639.299999999813735,5456304.269999999552965,10936943.570000000298023
FS( 89 ),5478005.660000000149012,5405125.940000000409782,10883131.600000001490116
FS( 90 ),5447060.390000000596046,5433080.489999999292195,10880140.879999998956919
FS( 91 ),5453644.490000000223517,5453293.779999999329448,10906938.269999999552965
FS( 92 ),5429283.319999999366701,5494580.500000000000000,10923863.820000000298023
FS( 93 ),5399654.870000000111759,5504042.040000000037253,10903696.910000000149012
FS( 94 ),5418748.759999999776483,5476087.489999999292195,10894836.250000000000000
FS( 95 ),5453644.490000000223517,5496730.849999999627471,10950375.339999999850988
FS( 96 ),5483272.940000000409782,5612419.679999999701977,11095692.620000001043081
FS( 97 ),5369368.009999999776483,5759933.690000000409782,11129301.699999999254942
FS( 98 ),5319987.259999999776483,5718216.900000000372529,11038204.160000000149012
FS( 99 ),5329863.410000000149012,5768535.089999999850988,11098398.500000000000000
FS( 100 ),5360150.269999999552965,5753482.639999999664724,11113632.910000000149012
FS( 101 ),5237686.009999999776483,5773265.860000000335276,11010951.870000001043081
FS( 102 ),5260071.950000000186265,5711335.780000000260770,10971407.730000000447035
FS( 103 ),5251512.620000000111759,5679940.669999998994172,10931453.289999999105930
FS( 104 ),5275215.379999999888241,5663167.940000000409782,10938383.320000000298023
FS( 105 ),5331180.229999999515712,5681230.879999999888241,11012411.109999999403954
FS( 106 ),5339739.559999999590218,5696713.400000000372529,11036452.960000000894070
FS( 107 ),5372660.059999999590218,5678220.389999999664724,11050880.449999999254942
FS( 108 ),5352907.759999999776483,5690262.349999999627471,11043170.109999999403954
FS( 109 ),5407555.790000000037253,5678650.459999999031425,11086206.250000000000000
FS( 110 ),5406897.379999999888241,5705744.869999999180436,11112642.250000000000000
FS( 111 ),5430600.140000000596046,5744451.169999998994172,11175051.309999998658895
FS( 112 ),5408872.610000000335276,5620591.009999999776483,11029463.620000001043081
FS( 113 ),5425991.269999999552965,5579734.360000000335276,11005725.629999998956919
FS( 114 ),5348298.890000000596046,5547909.179999999701977,10896208.070000000298023
FS( 115 ),5374635.290000000037253,5618440.659999999217689,10993075.949999999254942
FS( 116 ),5308135.879999999888241,5571993.099999999627471,10880128.980000000447035
FS( 117 ),5257438.309999999590218,5612849.749999999068677,10870288.059999998658895
FS( 118 ),5279824.250000000000000,5590916.179999999701977,10870740.429999999701977
FS( 119 ),5268631.279999999329448,5631342.759999999776483,10899974.039999999105930
FS( 120 ),5280482.660000000149012,5608979.119999999180436,10889461.779999999329448
FS( 121 ),5331180.229999999515712,5702304.309999999590218,11033484.539999999105930
FS( 122 ),5364759.140000000596046,5738000.119999999180436,11102759.259999999776483
FS( 123 ),5347640.479999999515712,5719077.039999999105930,11066717.519999999552965
FS( 124 ),5361467.090000000782311,5762944.179999999701977,11124411.269999999552965
FS( 125 ),5335789.100000000558794,5748751.869999999180436,11084540.969999998807907
FS( 126 ),5385169.850000000558794,5785737.889999999664724,11170907.740000000223517
FS( 127 ),5395704.410000000149012,5850678.459999999031425,11246382.869999999180436
FS( 128 ),5429941.729999999515712,5885084.059999999590218,11315025.789999999105930
FS( 129 ),5449694.029999999329448,5941423.229999999515712,11391117.259999997913837
FS( 130 ),5420065.579999999143183,5889384.759999999776483,11309450.339999999850988
FS( 131 ),5441793.110000000335276,6038188.979999999515712,11479982.089999999850988
FS( 132 ),5476030.429999999701977,6050230.940000000409782,11526261.370000001043081
FS( 133 ),5478005.660000000149012,5988300.860000000335276,11466306.519999999552965
FS( 134 ),5436525.829999999143183,5938842.809999999590218,11375368.639999998733401
FS( 135 ),5487881.809999999590218,5929381.269999999552965,11417263.079999998211861
FS( 136 ),5461545.410000000149012,5903146.999999999068677,11364692.410000000149012
FS( 137 ),5491832.269999999552965,5963356.799999999813735,11455189.070000000298023
FS( 138 ),5473396.790000000037253,5921640.009999999776483,11395036.800000000745058
FS( 139 ),5467471.100000000558794,5957335.820000000298023,11424806.920000001788139
FS( 140 ),5491832.269999999552965,5943143.509999999776483,11434975.779999999329448
FS( 141 ),5502366.829999999143183,5930671.479999999515712,11433038.309999998658895
FS( 142 ),5544505.069999999366701,5986150.509999999776483,11530655.579999998211861
FS( 143 ),5416115.120000000111759,5904437.209999999031425,11320552.329999998211861
FS( 144 ),5348298.890000000596046,5896695.950000000186265,11244994.839999999850988
FS( 145 ),5429283.319999999366701,5965507.150000000372529,11394790.469999998807907
FS( 146 ),5524752.769999999552965,6043349.820000000298023,11568102.589999999850988
FS( 147 ),5574791.929999999701977,6072594.579999999143183,11647386.509999997913837
FS( 148 ),5582034.440000000409782,6057972.200000000186265,11640006.640000000596046
FS( 149 ),5625489.500000000000000,6088077.099999999627471,11713566.599999999627471
FS( 150 ),5598494.690000000409782,6123342.839999999850988,11721837.530000001192093
FS( 151 ),5585326.490000000223517,6055391.780000000260770,11640718.269999999552965
FS( 152 ),5647217.029999999329448,6075605.070000000298023,11722822.099999999627471
FS( 153 ),5645900.209999999962747,6034748.419999998994172,11680648.629999998956919
FS( 154 ),5645900.209999999962747,6014965.200000000186265,11660865.410000000149012
FS( 155 ),5655117.950000000186265,6084636.539999999105930,11739754.489999998360872
FS( 156 ),5653801.129999999888241,6057112.059999999590218,11710913.189999999478459
FS( 157 ),5663018.870000000111759,6078185.490000000223517,11741204.359999999403954
FS( 158 ),5657751.590000000782311,6053241.429999999701977,11710993.019999999552965
FS( 159 ),5673553.429999999701977,6132374.309999999590218,11805927.739999998360872
FS( 160 ),5617588.579999999143183,6150867.320000000298023,11768455.899999998509884
FS( 161 ),5613638.120000000111759,6144416.269999999552965,11758054.390000000596046
FS( 162 ),5643924.979999999515712,6179682.009999999776483,11823606.989999998360872
FS( 163 ),5649192.259999999776483,6095388.289999999105930,11744580.549999998882413
FS( 164 ),5614296.529999999329448,6094098.079999999143183,11708394.609999999403954
FS( 165 ),5560965.319999999366701,6093237.940000000409782,11654203.259999999776483
FS( 166 ),5584009.669999999925494,6139685.499999999068677,11723695.169999998062849
FS( 167 ),5635365.650000000372529,6158608.579999999143183,11793974.230000000447035
FS( 168 ),5689355.269999999552965,6171940.749999999068677,11861296.019999999552965
FS( 169 ),5712399.620000000111759,6157318.369999999180436,11869717.989999998360872
FS( 170 ),5660385.229999999515712,6144846.339999999850988,11805231.570000000298023
FS( 171 ),5665652.509999999776483,6137535.150000000372529,11803187.660000000149012
FS( 172 ),5647875.440000000409782,6149577.110000000335276,11797452.550000000745058
FS( 173 ),5646558.620000000111759,6112591.089999999850988,11759149.710000000894070
FS( 174 ),5661702.049999999813735,6099258.919999998994172,11760960.969999998807907
FS( 175 ),5682771.169999999925494,6115171.509999999776483,11797942.679999999701977
FS( 176 ),5710424.390000000596046,6134094.589999999850988,11844518.980000000447035
FS( 177 ),5730835.100000000558794,6144846.339999999850988,11875681.440000001341105
FS( 178 ),5729518.279999999329448,6090657.519999999552965,11820175.799999998882413
FS( 179 ),5700548.240000000223517,6067433.740000000223517,11767981.980000000447035
FS( 180 ),5725567.819999999366701,6094528.150000000372529,11820095.969999998807907
FS( 181 ),5757171.500000000000000,6114311.369999999180436,11871482.869999999180436
FS( 182 ),5748612.169999999925494,6108720.459999999031425,11857332.629999998956919
FS( 183 ),5718325.309999999590218,6110870.809999999590218,11829196.119999999180436
FS( 184 ),5754537.860000000335276,6107430.249999999068677,11861968.109999999403954
FS( 185 ),5748612.169999999925494,6015395.269999999552965,11764007.439999999478459
FS( 186 ),5787458.360000000335276,5904867.280000000260770,11692325.640000000596046
FS( 187 ),5766389.240000000223517,5875622.519999999552965,11642011.759999999776483
FS( 188 ),5813794.759999999776483,5903577.070000000298023,11717371.830000000074506
FS( 189 ),5763755.600000000558794,5886374.269999999552965,11650129.870000001043081
FS( 190 ),5748612.169999999925494,5851108.530000000260770,11599720.699999999254942
FS( 191 ),5814453.169999999925494,5837776.360000000335276,11652229.530000001192093
FS( 192 ),5807210.660000000149012,5875192.450000000186265,11682403.109999999403954
FS( 193 ),5836180.700000000186265,5847667.969999999739230,11683848.669999999925494
FS( 194 ),5790750.410000000149012,5805521.110000000335276,11596271.519999999552965
FS( 195 ),5779557.440000000409782,5824874.259999999776483,11604431.699999999254942
FS( 196 ),5678162.299999999813735,5746601.519999999552965,11424763.820000000298023
FS( 197 ),5810502.709999999962747,5828744.889999999664724,11639247.599999999627471
FS( 198 ),5731493.509999999776483,5760793.829999999143183,11492287.339999999850988
FS( 199 ),5728859.870000000111759,5749612.009999999776483,11478471.879999998956919
FS( 200 ),5797992.919999999925494,5832185.450000000186265,11630178.370000001043081
FS( 201 ),5797334.509999999776483,5955185.469999999739230,11752519.980000000447035
FS( 202 ),5818403.629999999888241,5921209.940000000409782,11739613.570000000298023
FS( 203 ),5832230.240000000223517,5912178.469999999739230,11744408.710000000894070
FS( 204 ),5780874.259999999776483,6017115.549999999813735,11797989.809999998658895
FS( 205 ),5859225.049999999813735,6065713.459999999031425,11924938.509999997913837
FS( 206 ),5778240.620000000111759,6042919.749999999068677,11821160.369999999180436
FS( 207 ),5784166.309999999590218,6008944.219999999739230,11793110.529999999329448
FS( 208 ),5817745.219999999739230,6054961.709999999031425,11872706.929999999701977
FS( 209 ),5890170.319999999366701,6038619.049999999813735,11928789.369999999180436
FS( 210 ),5809185.890000000596046,5948734.419999998994172,11757920.309999998658895
FS( 211 ),5909264.209999999962747,6020986.179999999701977,11930250.390000000596046
FS( 212 ),5837497.519999999552965,5956045.610000000335276,11793543.129999998956919
FS( 213 ),5817086.809999999590218,5941853.299999999813735,11758940.109999999403954
FS( 214 ),5850007.309999999590218,5917769.379999999888241,11767776.689999999478459
FS( 215 ),5874368.479999999515712,5869171.469999999739230,11743539.949999999254942
FS( 216 ),5925724.459999999962747,5877342.799999999813735,11803067.259999999776483
FS( 217 ),5863833.919999999925494,5938412.740000000223517,11802246.660000000149012
FS( 218 ),5829596.600000000558794,5795199.429999999701977,11624796.030000001192093
FS( 219 ),5831571.829999999143183,5810251.879999999888241,11641823.709999999031425
FS( 220 ),5809844.299999999813735,5771115.509999999776483,11580959.809999998658895
FS( 221 ),5822354.090000000782311,5759503.619999999180436,11581857.710000000894070
FS( 222 ),5782849.490000000223517,5768535.089999999850988,11551384.580000000074506
FS( 223 ),5757829.910000000149012,6166779.909999999217689,11924609.820000000298023
FS( 224 ),5632073.600000000558794,6208926.769999999552965,11841000.370000001043081
FS( 225 ),5591910.590000000782311,6239031.669999998994172,11830942.259999999776483
FS( 226 ),5552405.990000000223517,6251933.769999999552965,11804339.759999999776483
FS( 227 ),5537262.559999999590218,6222689.009999999776483,11759951.570000000298023
FS( 228 ),5726226.229999999515712,6183552.639999999664724,11909778.869999999180436
FS( 229 ),5754537.860000000335276,6116891.789999999105930,11871429.649999998509884
FS( 230 ),5700548.240000000223517,6104419.759999999776483,11804968.000000000000000
FS( 231 ),5717666.900000000372529,6036038.629999999888241,11753705.530000001192093
FS( 232 ),5715033.259999999776483,6078185.490000000223517,11793218.750000000000000
FS( 233 ),5718325.309999999590218,5996472.190000000409782,11714797.500000000000000
FS( 234 ),5711082.799999999813735,5977119.039999999105930,11688201.839999999850988
FS( 235 ),5701865.059999999590218,5927660.990000000223517,11629526.050000000745058
FS( 236 ),5601786.740000000223517,5922500.150000000372529,11524286.890000000596046
FS( 237 ),5699231.419999999925494,6103989.690000000409782,11803221.109999999403954
FS( 238 ),5758488.319999999366701,6145706.479999999515712,11904194.799999998882413
FS( 239 ),5657751.590000000782311,6102699.479999999515712,11760451.070000000298023
FS( 240 ),5462203.819999999366701,6284619.089999999850988,11746822.910000000149012
FS( 241 ),5503025.240000000223517,6297091.119999999180436,11800116.359999999403954
FS( 242 ),5464837.459999999962747,6549112.139999999664724,12013949.599999999627471
FS( 243 ),5505658.879999999888241,6546961.789999999105930,12052620.669999998062849
FS( 244 ),5477347.250000000000000,6515566.679999999701977,11992913.929999999701977
FS( 245 ),5469446.329999999143183,6484171.570000000298023,11953617.899999998509884
FS( 246 ),5398996.459999999962747,6427402.329999999143183,11826398.789999999105930
FS( 247 ),5441134.700000000186265,6468689.049999999813735,11909823.750000000000000
FS( 248 ),5449035.620000000111759,6548251.999999999068677,11997287.619999999180436
FS( 249 ),5443768.340000000782311,6603300.959999999031425,12047069.300000000745058
FS( 250 ),5495124.319999999366701,6571905.849999999627471,12067030.169999998062849
FS( 251 ),5469446.329999999143183,6541800.950000000186265,12011247.279999999329448
FS( 252 ),5457594.950000000186265,6777479.309999999590218,12235074.259999999776483
FS( 253 ),5429283.319999999366701,6808874.419999998994172,12238157.739999998360872
