代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10656477.919999999925494
真實報酬,656477.919999999925494

夏普值報酬,0.056947792000000
夏普值風險,0.018664474305555
夏普值,3.051132920633682

預期報酬,33188.492895470364601
風險,19850.171542583615519
趨勢值,1.671949928708308
找到最佳解世代,4009
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,10
AAPL[0](26),AXP[1](4),IBM[10](9),JNJ[12](2),MCD[15](10),TRV[22](1),UNH[23](7),VZ[26](3),WBA[27](11),WMT[28](13),
Stock#,AAPL[0](26),AXP[1](4),IBM[10](9),JNJ[12](2),MCD[15](10),TRV[22](1),UNH[23](7),VZ[26](3),WBA[27](11),WMT[28](13),
張數,15857,16090,4979,13138,10427,12434,18709,21491,24425,14128,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,57.579999999958090,6.500000000000000,67.429999999934807,66.820000000065193,50.699999999953434,57.719999999972060,3.949999999953434,23.770000000018626,40.500000000000000,20.160000000032596,
20130301,975263.079999999958090,1003539.799999999930151,1010356.319999999948777,1007751.420000000158325,997706.060000000055879,1003357.179999999934807,1001309.630000000004657,1004083.290000000037253,1009281.500000000000000,1013562.880000000004657,10026211.160000000149012
20130304,951636.149999999906868,1011906.599999999976717,1021708.439999999944121,1014320.420000000158325,991345.589999999850988,1001243.399999999906868,997567.829999999958090,1012464.780000000027940,1020272.750000000116415,1035037.440000000060536,10057503.400000000372529
20130305,976690.209999999962747,1031697.300000000046566,1028380.299999999930151,1020363.900000000023283,999061.569999999948777,1012931.359999999869615,1000935.449999999953434,1024929.559999999939464,994626.500000000000000,1041536.320000000065193,10131152.470000000670552
20130306,964321.750000000000000,1040225.000000000116415,1037591.449999999953434,1016816.640000000130385,1009488.569999999948777,1008082.099999999860302,1002993.439999999944121,1016118.250000000000000,976063.500000000000000,1036732.799999999930151,10108433.500000000000000
20130307,975421.649999999906868,1038776.900000000023283,1042769.609999999869615,1021546.320000000065193,1012408.130000000004657,1009698.520000000018626,1006548.149999999906868,1020416.449999999953434,980215.750000000116415,1035885.119999999878928,10143686.599999999627471
20130308,977958.770000000018626,1041029.500000000000000,1047549.449999999953434,1027327.040000000037253,1029299.869999999878928,1015293.820000000065193,1006735.239999999990687,1030732.130000000004657,992672.500000000000000,1031788.000000000000000,10200386.320000000298023
20130311,991912.929999999934807,1053901.500000000000000,1046055.750000000000000,1030611.540000000037253,1031176.729999999981374,1016537.219999999972060,1014218.839999999967404,1027508.480000000097789,1008304.500000000000000,1031081.600000000093132,10251309.089999997988343
20130312,970505.979999999981374,1050522.600000000093132,1048395.880000000004657,1032188.100000000093132,1029821.219999999972060,1016412.879999999888241,1025818.419999999925494,1039328.530000000027940,1002442.500000000000000,1039840.959999999962747,10255277.070000000298023
20130313,970347.409999999916181,1050683.500000000000000,1055914.169999999925494,1032056.719999999972060,1036285.959999999962747,1021137.800000000046566,1019270.269999999902211,1030302.309999999939464,1044942.000000000000000,1040547.360000000102445,10301487.499999998137355
20130314,979861.609999999986030,1051970.699999999953434,1074535.629999999888241,1039282.619999999995343,1035556.069999999948777,1024121.959999999962747,1023947.519999999902211,1041907.449999999953434,1043476.500000000000000,1034472.320000000065193,10349132.379999998956919
20130315,1005074.239999999990687,1063394.600000000093132,1070154.109999999869615,1040465.040000000037253,1039309.789999999920838,1023127.239999999990687,1023947.519999999902211,1032021.590000000083819,1040057.000000000000000,1024300.160000000032596,10361851.289999999105930
20130318,1032348.279999999911524,1058406.699999999953434,1061640.020000000018626,1035472.600000000093132,1027840.089999999850988,1026235.739999999990687,1028998.949999999953434,1047710.020000000018626,1036393.250000000000000,1020768.160000000032596,10375813.810000000521541
20130319,1029652.590000000083819,1047948.199999999953434,1062785.189999999944121,1036129.500000000000000,1026067.500000000000000,1034442.179999999934807,1032179.479999999981374,1052008.219999999972060,1092815.000000000000000,1023593.760000000125729,10437621.619999999180436
20130320,1024102.639999999897555,1061946.500000000000000,1070851.169999999925494,1043880.920000000158325,1029925.489999999874271,1042524.280000000027940,1026753.869999999995343,1044486.369999999995343,1124079.000000000000000,1031222.880000000004657,10499773.120000001043081
20130321,1025688.340000000083819,1052453.399999999906868,1056909.969999999972060,1038100.200000000186265,1027423.010000000009313,1041405.219999999972060,1030121.489999999990687,1048784.570000000065193,1118949.750000000000000,1033200.799999999930151,10473036.750000000000000
20130322,1046461.009999999892898,1065486.300000000046566,1056013.750000000000000,1047690.939999999944121,1035138.989999999874271,1040659.179999999934807,1018896.089999999967404,1053512.590000000083819,1135558.750000000000000,1049448.000000000000000,10548865.599999999627471
20130325,1050266.689999999944121,1063555.500000000000000,1049341.889999999897555,1046902.660000000149012,1024399.179999999934807,1036680.300000000046566,1026379.689999999944121,1056521.329999999841675,1128231.250000000000000,1057500.959999999962747,10539779.449999999254942
20130326,1044716.739999999874271,1080771.800000000046566,1057407.870000000111759,1062274.119999999878928,1027110.199999999953434,1036555.959999999962747,1041159.799999999930151,1063398.449999999953434,1161937.750000000000000,1056370.720000000204891,10631703.410000000149012
20130327,1024102.639999999897555,1080450.000000000000000,1050088.739999999757856,1067792.080000000074506,1031281.000000000000000,1036680.300000000046566,1059307.529999999795109,1051793.310000000055879,1153877.500000000000000,1056512.000000000000000,10611885.099999999627471
20130328,1002854.260000000009313,1085437.899999999906868,1062088.129999999888241,1071207.960000000195578,1039518.329999999958090,1046876.179999999934807,1070345.840000000083819,1056306.419999999925494,1164624.500000000000000,1057218.399999999906868,10656477.919999999925494
