訓練日期,20140806 - 20141105
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11645455.780000001192093
真實報酬,1645455.780000001192093

夏普值報酬,0.155845578000000
夏普值風險,0.038196440456216
夏普值,4.080107364419026

預期報酬,22589.201945550637902
風險,136562.072370374546153
趨勢值,0.165413438398077
找到最佳解世代,1598
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](9),NKE[19](1),UNH[23](5),
Stock#,KO[14](9),NKE[19](1),UNH[23](5),
張數,85077,86670,41157,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,16.140000000130385,4.799999999813735,27.570000000298023,
20140806,3396289.980000000447035,3342866.699999999720603,3354323.070000000298023,10093480.750000000000000
20140807,3347796.090000000316650,3308198.700000000186265,3262131.390000000596046,9918127.180000001564622
20140808,3356303.790000000502914,3339399.899999999906868,3297526.410000000614673,9993231.100000001490116
20140811,3366513.030000000260770,3339399.899999999906868,3287237.160000000614673,9993151.089999999850988
20140812,3375871.500000000000000,3325532.699999999720603,3301642.110000000335276,10003047.309999998658895
20140813,3397991.520000000018626,3348066.899999999906868,3354734.640000000596046,10100794.060000000521541
20140814,3418410.000000000000000,3349800.299999999813735,3367493.310000000055879,10135704.609999999403954
20140815,3477963.900000000372529,3342866.699999999720603,3353088.360000000335276,10173919.960000000894070
20140818,3517950.090000000316650,3404402.399999999906868,3388894.950000000651926,10311248.440000001341105
20140819,3510293.160000000149012,3402668.999999999534339,3435402.360000000335276,10348365.519999999552965
20140820,3509442.390000000130385,3420003.000000000000000,3433756.080000000540167,10363202.470000000670552
20140821,3523054.709999999962747,3420869.699999999720603,3447749.459999999962747,10391674.870000001043081
20140822,3498382.379999999888241,3436470.299999999813735,3448161.030000000260770,10383014.710000000894070
20140825,3523054.709999999962747,3467671.499999999534339,3467093.250000000000000,10457820.459999999031425
20140826,3539219.340000000316650,3444270.600000000093132,3503311.410000000614673,10486802.350000001490116
20140827,3539219.340000000316650,3454670.999999999534339,3555169.229999999981374,10549060.570000000298023
20140828,3541771.650000000372529,3415669.499999999534339,3553522.950000000651926,10510965.100000001490116
20140829,3549428.580000000074506,3404402.399999999906868,3567516.330000000540167,10521348.310000000521541
20140902,3542622.420000000391155,3435603.600000000093132,3555580.800000000279397,10533807.820000000298023
20140903,3554533.200000000186265,3415669.499999999534339,3572043.600000000558794,10542247.300000000745058
20140904,3562190.129999999888241,3463338.000000000000000,3583155.990000000223517,10608685.120000001043081
20140905,3559637.820000000298023,3555208.200000000186265,3611554.320000000298023,10726401.339999999850988
20140908,3554533.200000000186265,3570808.800000000279397,3618139.439999999944121,10743482.439999999478459
20140909,3568145.520000000018626,3546541.200000000186265,3644891.490000000223517,10759579.210000000894070
20140910,3587713.230000000447035,3574275.600000000093132,3590975.820000000298023,10752965.650000000372529
20140911,3568996.290000000502914,3545674.499999999534339,3583979.130000000353903,10698650.919999999925494
20140912,3527308.560000000055879,3546541.200000000186265,3546937.830000000540167,10620788.589999999850988
20140915,3530711.640000000130385,3537007.500000000000000,3540764.280000000260770,10608484.420000001788139
20140916,3542622.420000000391155,3518806.799999999813735,3587271.689999999944121,10648701.910000000149012
20140917,3540070.109999999869615,3532673.999999999534339,3580275.000000000000000,10653020.109999999403954
20140918,3555383.970000000204891,3552608.100000000093132,3606615.479999999981374,10714608.550000000745058
20140919,3577503.989999999757856,3545674.499999999534339,3613612.170000000391155,10736791.660000000149012
20140922,3591967.080000000074506,3497139.299999999813735,3612377.459999999962747,10701484.839999999850988
20140923,3563891.670000000391155,3472005.000000000000000,3563812.200000000651926,10599709.870000001043081
20140924,3596220.930000000167638,3503206.200000000186265,3630486.540000000037253,10729914.670000001788139
20140925,3554533.200000000186265,3456404.399999999906868,3546937.830000000540167,10557876.429999999701977
20140926,3590265.540000000502914,3878487.299999999813735,3564223.770000000018626,11032977.609999999403954
20140929,3594519.390000000130385,3862020.000000000000000,3560519.640000000596046,11017060.030000001192093
20140930,3629400.959999999962747,3865486.799999999813735,3549818.820000000298023,11044707.580000000074506
20141001,3636207.120000000111759,3800484.299999999813735,3493433.729999999981374,10930126.150000000372529
20141002,3629400.959999999962747,3869820.299999999813735,3494256.870000000577420,10993479.130000000819564
20141003,3658327.140000000130385,3913155.299999999813735,3540352.709999999962747,11111836.149999998509884
20141006,3709373.340000000316650,3866353.499999999534339,3502076.700000000651926,11077804.540000000968575
20141007,3736597.980000000447035,3816951.599999999627471,3465035.400000000372529,11018585.980000000447035
20141008,3790196.489999999757856,3849886.200000000186265,3565046.910000000614673,11205130.599999999627471
20141009,3732344.129999999888241,3780550.199999999720603,3495903.150000000372529,11008798.480000000447035
20141010,3783390.330000000074506,3778816.799999999813735,3514423.800000000279397,11076631.929999999701977
20141013,3749359.530000000260770,3700813.800000000279397,3455157.720000000204891,10905332.050000000745058
20141014,3712776.420000000391155,3687813.299999999348074,3408650.310000000055879,10809241.029999999329448
20141015,3677894.850000000093132,3691280.100000000093132,3381486.689999999944121,10750662.640000000596046
20141016,3620893.260000000242144,3771883.200000000186265,3514423.800000000279397,10907201.260000001639128
20141017,3648117.900000000372529,3777950.100000000093132,3629251.830000000540167,11055320.830000000074506
20141020,3682999.470000000204891,3852486.300000000279397,3644068.350000000558794,11179555.120000001043081
20141021,3460948.500000000000000,3927889.199999999720603,3743256.720000000204891,11132095.419999999925494
20141022,3455843.879999999888241,3894087.899999999906868,3694691.459999999962747,11044624.239999998360872
20141023,3476262.359999999869615,3916622.099999999627471,3731321.189999999944121,11124206.649999998509884
20141024,3490725.450000000186265,3939156.300000000279397,3771655.050000000279397,11201537.800000000745058
20141027,3467754.660000000149012,3971224.199999999720603,3791821.979999999981374,11230801.839999999850988
20141028,3450739.260000000242144,4006758.899999999441206,3812812.050000000279397,11270311.210000000894070
20141029,3484770.060000000055879,3985091.399999999441206,3825982.290000000037253,11295844.750000000000000
20141030,3522203.939999999944121,4030159.799999999813735,3863846.729999999981374,11416211.470000000670552
20141031,3563040.900000000372529,4029293.100000000093132,3910354.140000000596046,11502689.140000000596046
20141103,3557085.510000000242144,4050093.899999999441206,3904180.590000000316650,11511361.000000000000000
20141104,3557936.280000000260770,4071761.399999999441206,3909119.430000000633299,11538818.109999999403954
20141105,3599624.010000000242144,4102962.600000000093132,3942868.170000000391155,11645455.780000001192093
