訓練日期,20171003 - 20180104
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11572276.330000000074506
真實報酬,1572276.330000000074506

夏普值報酬,0.148527633000000
夏普值風險,0.041751558524385
夏普值,3.557415297760737

預期報酬,24102.313955159330362
風險,40834.446170558614540
趨勢值,0.590244663892049
找到最佳解世代,2892
找到最佳解實驗#,1
找到最佳解次數,34

stock[index](rank)
投資組合檔數,11
AAPL[0](11),CAT[3](2),CSCO[4](10),CVX[5](24),DIS[6](18),HD[9](15),KO[14](21),MCD[15](6),MSFT[18](7),NKE[19](1),WMT[28](3),
Stock#,AAPL[0](11),CAT[3](2),CSCO[4](10),CVX[5](24),DIS[6](18),HD[9](15),KO[14](21),MCD[15](6),MSFT[18](7),NKE[19](1),WMT[28](3),
張數,5910,7289,26936,7741,9103,5542,20292,5791,12184,17526,11588,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,72.900000000023283,5.920000000041910,0.000000000000000,64.369999999995343,64.420000000041910,91.159999999916181,8.400000000023283,134.639999999897555,41.760000000009313,16.380000000004657,11.400000000023283,
20171003,913049.699999999953434,914848.310000000055879,911783.600000000093132,912108.989999999990687,917555.790000000153668,915463.299999999813735,917003.880000000004657,908510.900000000023283,904825.600000000093132,902079.599999999976717,918012.760000000009313,10035252.429999999701977
20171004,907139.699999999953434,923813.780000000027940,900739.839999999967404,910251.150000000023283,915371.070000000065193,916128.339999999850988,923294.400000000023283,910537.750000000000000,910064.719999999972060,912770.459999999962747,916506.320000000065193,10046627.530000001192093
20171005,918427.799999999930151,921335.520000000135042,904780.240000000107102,917992.150000000023283,911365.750000000000000,920728.199999999953434,923700.240000000107102,919745.439999999944121,925660.239999999990687,914523.060000000055879,920214.479999999981374,10098483.120000001043081
20171006,917895.900000000139698,925198.690000000060536,909090.000000000000000,905993.599999999976717,911001.630000000004657,919231.859999999869615,923091.480000000097789,924378.239999999874271,926025.760000000009313,918729.300000000046566,915463.400000000023283,10096109.860000001266599
20171009,921087.300000000046566,924834.239999999990687,909359.359999999986030,911257.479999999981374,906450.130000000004657,918455.979999999981374,921468.119999999995343,927389.559999999939464,929559.120000000111759,902955.900000000023283,933193.040000000037253,10106020.230000000447035
20171010,921441.900000000023283,934382.830000000074506,903702.799999999930151,919695.169999999925494,906541.160000000032596,915407.879999999888241,930802.439999999944121,930053.419999999925494,929559.120000000111759,903131.160000000032596,974909.839999999967404,10169637.719999998807907
20171011,925283.400000000139698,937371.319999999948777,904780.240000000107102,923797.900000000023283,897165.070000000065193,915906.659999999916181,935469.600000000093132,944936.289999999920838,931143.040000000037253,894368.160000000032596,993450.640000000013970,10203682.320000002160668
20171012,922032.900000000023283,947503.030000000144355,895891.359999999986030,922327.109999999986030,882418.210000000079162,912248.939999999944121,935672.520000000018626,949337.449999999837019,939671.840000000083819,890862.959999999962747,997738.199999999953434,10195714.519999999552965
20171013,927883.800000000046566,952751.110000000102445,901547.919999999925494,922481.929999999934807,886514.560000000055879,911583.899999999906868,937092.959999999962747,957792.309999999939464,944179.919999999925494,893491.859999999986030,1003763.960000000079162,10239094.230000000447035
20171016,944963.699999999953434,958290.750000000000000,903433.439999999944121,929990.699999999953434,893341.810000000055879,910198.399999999906868,946021.439999999944121,955707.549999999813735,946129.360000000102445,900327.000000000000000,993566.520000000018626,10281980.669999999925494
20171017,948450.599999999976717,951511.979999999981374,905049.600000000093132,930687.390000000013970,895435.500000000000000,905376.859999999869615,943992.240000000107102,957966.039999999920838,945398.320000000065193,911368.380000000004657,996347.640000000013970,10291594.550000000745058
20171018,944254.500000000000000,956978.729999999981374,903702.799999999930151,914663.520000000018626,894434.170000000041910,905931.059999999823049,941557.199999999953434,960108.709999999962747,945642.000000000000000,916626.179999999934807,999128.760000000009313,10283037.629999998956919
20171019,921914.699999999953434,958873.870000000111759,909090.000000000000000,915050.570000000065193,901352.450000000069849,904767.239999999990687,945412.680000000051223,964336.139999999897555,949297.199999999953434,923461.319999999948777,1001214.600000000093132,10294780.769999999552965
20171020,923510.400000000023283,957488.960000000195578,922558.000000000000000,918456.609999999986030,904902.620000000111759,905820.219999999972060,941151.360000000102445,963177.939999999944121,960262.800000000046566,929945.940000000060536,1013266.119999999995343,10340550.969999998807907
20171023,923037.599999999976717,959821.440000000060536,925251.600000000093132,920701.500000000000000,898530.520000000018626,913080.239999999990687,939933.840000000083819,946036.579999999958090,960506.479999999981374,940461.539999999920838,1027287.600000000093132,10354658.939999999478459
20171024,928533.900000000023283,1007637.280000000144355,931446.880000000004657,923023.800000000046566,894798.290000000153668,920229.419999999925494,937092.959999999962747,949163.719999999855645,960872.000000000000000,936255.300000000046566,1019523.640000000013970,10408587.190000001341105
20171025,924456.000000000000000,997432.680000000051223,923904.799999999930151,916908.410000000032596,890337.820000000065193,920451.099999999860302,934455.000000000000000,947426.419999999925494,958069.679999999934807,962894.819999999948777,1025317.640000000013970,10401664.370000001043081
20171026,930366.000000000000000,998161.580000000074506,923096.720000000088476,916908.410000000032596,897256.100000000093132,929207.459999999962747,938107.559999999939464,949916.549999999813735,959653.600000000093132,995668.440000000060536,1026939.960000000079162,10465292.380000000819564
20171027,963698.400000000139698,1004503.010000000009313,927406.479999999981374,878977.510000000009313,894980.350000000093132,927489.439999999944121,934860.840000000083819,957908.129999999771826,1021182.800000000046566,980771.339999999967404,1021725.359999999986030,10513513.659999998286366
20171030,985388.099999999976717,994881.530000000144355,916901.439999999944121,885557.359999999986030,892522.540000000153668,916239.179999999934807,930599.520000000018626,962772.569999999832362,1022157.520000000018626,968678.400000000023283,1007588.000000000000000,10483296.160000000149012
20171031,999099.299999999930151,989852.120000000111759,919864.399999999906868,897168.859999999986030,890428.850000000093132,918843.919999999925494,933034.559999999939464,966710.449999999837019,1013506.880000000121072,963771.119999999995343,1011759.680000000051223,10504050.139999998733401
20171101,986392.799999999930151,993423.729999999981374,932524.319999999948777,897246.270000000018626,901534.510000000009313,916627.119999999878928,929382.000000000000000,963583.309999999939464,1013506.880000000121072,965173.199999999953434,1019060.119999999995343,10518464.259999997913837
20171102,993603.000000000116415,994735.750000000000000,921480.560000000055879,892833.900000000023283,895344.469999999972060,901829.979999999981374,931005.360000000102445,973601.739999999874271,1024106.959999999962747,966049.500000000000000,1029025.800000000046566,10523627.020000001415610
20171103,1019547.900000000023283,995901.989999999990687,928483.919999999925494,890201.959999999962747,897984.340000000083819,911140.539999999804422,932831.640000000013970,976786.789999999920838,1025203.520000000018626,976389.839999999967404,1039223.240000000107102,10593705.679999999701977
20171106,1029890.400000000023283,1003774.110000000102445,926867.759999999892898,906071.010000000009313,916190.340000000083819,910198.399999999906868,922685.640000000013970,985010.009999999892898,1029224.239999999990687,982173.420000000041910,1027867.000000000000000,10639962.329999998211861
20171107,1033200.000000000000000,1011792.010000000009313,926598.399999999906868,907619.209999999962747,925020.250000000000000,907094.879999999888241,932222.880000000004657,989063.709999999962747,1026787.439999999944121,966575.280000000027940,1030764.000000000000000,10656748.059999998658895
20171108,1041651.300000000046566,1000712.729999999981374,929292.000000000000000,903206.839999999967404,921105.960000000079162,909256.260000000009313,937092.959999999962747,985183.739999999874271,1030320.800000000046566,977266.140000000013970,1045944.280000000027940,10681043.009999999776483
20171109,1039523.699999999953434,986499.180000000051223,917170.799999999930151,907619.209999999962747,934760.460000000079162,904933.500000000000000,938107.559999999939464,967231.639999999897555,1024594.320000000065193,983750.760000000009313,1046407.800000000046566,10650608.929999999701977
20171110,1032372.599999999976717,994808.640000000013970,915554.640000000013970,907154.750000000000000,953876.760000000009313,909588.780000000027940,944398.079999999958090,959066.329999999958090,1021913.840000000083819,983049.720000000088476,1053592.359999999869615,10675386.500000000000000
20171113,1028235.599999999976717,995173.090000000083819,914477.200000000069849,907541.800000000046566,953512.640000000013970,916460.859999999869615,948050.640000000013970,969374.309999999939464,1022644.880000000121072,979895.039999999920838,1054403.520000000018626,10689779.579999998211861
20171114,1012692.300000000046566,1002534.979999999981374,916901.439999999944121,905142.089999999967404,939220.930000000051223,931479.679999999934807,962457.959999999962747,973659.650000000023283,1024106.959999999962747,981121.859999999986030,1055562.319999999832362,10704890.169999998062849
20171115,999335.700000000069849,977460.819999999948777,918786.959999999962747,901503.820000000065193,943954.489999999990687,917125.899999999906868,949876.920000000041910,969084.759999999892898,1011070.080000000074506,992513.760000000009313,1040961.440000000060536,10621684.649999998509884
20171116,1011273.900000000023283,993933.960000000195578,966463.680000000051223,886950.739999999990687,943135.219999999972060,928376.159999999916181,944601.000000000000000,973543.829999999958090,1013750.560000000055879,1003029.359999999986030,1154407.959999999962747,10819476.370000001043081
20171117,1005659.400000000023283,992257.489999999990687,967002.399999999906868,888034.479999999981374,941678.739999999990687,929706.239999999990687,927555.720000000088476,965610.159999999916181,1004003.360000000102445,1037380.319999999948777,1129493.760000000242144,10788392.070000000298023
20171120,1004654.699999999953434,997942.910000000032596,983164.000000000000000,888111.890000000013970,935397.670000000041910,944725.059999999823049,922482.720000000088476,966826.269999999902211,1005587.280000000027940,1038431.880000000004657,1129609.640000000130385,10816944.019999999552965
20171121,1023330.299999999930151,1002972.319999999948777,987204.399999999906868,891595.339999999967404,937673.420000000041910,958081.280000000027940,928976.160000000032596,974759.939999999944121,1020086.239999999990687,1040885.520000000018626,1118485.160000000149012,10884060.080000000074506
20171122,1034086.500000000116415,1005960.809999999939464,981817.200000000069849,897323.679999999934807,935306.640000000013970,953647.679999999934807,930193.680000000051223,979103.189999999944121,1012654.000000000000000,1035277.199999999953434,1117210.479999999981374,10882591.059999998658895
20171124,1034145.599999999976717,1001441.629999999888241,982894.640000000013970,901968.280000000027940,934396.340000000083819,955144.020000000018626,931005.360000000102445,979450.650000000023283,1014481.600000000093132,1039658.699999999953434,1119643.959999999962747,10894240.780000001192093
20171127,1028944.800000000046566,999983.830000000074506,993130.319999999948777,894846.560000000055879,935761.790000000153668,965285.879999999888241,931411.199999999953434,978582.000000000000000,1021913.840000000083819,1045091.760000000009313,1119643.959999999962747,10914605.940000001341105
20171128,1022916.599999999976717,1013104.030000000144355,1016295.279999999911524,901503.820000000065193,941405.650000000023283,978642.099999999860302,929990.760000000009313,992364.579999999958090,1034219.679999999934807,1044215.459999999962747,1121382.160000000149012,10996050.120000001043081
20171129,1001699.699999999953434,1006325.260000000009313,1009561.279999999911524,907154.750000000000000,958064.140000000013970,982410.659999999916181,923294.400000000023283,987094.769999999902211,1015456.320000000065193,1057885.740000000223517,1130536.680000000167638,10979493.699999999254942
20171130,1015706.400000000023283,1028848.270000000135042,1004712.799999999930151,921165.959999999962747,954240.880000000004657,996653.599999999860302,928773.240000000107102,996012.909999999916181,1025569.040000000037253,1058937.299999999813735,1126712.640000000130385,11057343.040000002831221
20171201,1010978.400000000139698,1031545.200000000069849,1012793.600000000093132,925191.280000000027940,958155.170000000041910,999978.799999999813735,932831.640000000013970,1001224.809999999939464,1026665.600000000093132,1049473.260000000242144,1128103.200000000186265,11076950.960000000894070
20171204,1003590.900000000139698,1031399.420000000041910,1016025.919999999925494,935486.810000000055879,1003397.080000000074506,1024806.959999999962747,938107.559999999939464,988368.789999999920838,987920.479999999981374,1053328.979999999981374,1124163.280000000260770,11106606.179999999701977
20171205,1002645.299999999930151,1021486.379999999888241,1004982.160000000032596,932003.359999999986030,976088.080000000074506,1013445.859999999869615,938716.319999999948777,1001919.729999999981374,994134.320000000065193,1058937.299999999813735,1133665.439999999944121,11078034.249999998137355
20171206,998922.000000000000000,1022944.180000000051223,1007675.759999999892898,925965.380000000004657,960066.799999999930151,1002084.760000000009313,942571.800000000046566,1004757.319999999832362,1008633.280000000027940,1046669.099999999976717,1127292.040000000037253,11047592.419999998062849
20171207,1000754.099999999976717,1041531.129999999888241,1007406.399999999906868,926120.199999999953434,958246.200000000069849,1008735.159999999916181,928976.160000000032596,1001456.449999999837019,1005099.919999999925494,1062091.979999999981374,1121498.040000000037253,11061925.740000002086163
20171208,1001049.600000000093132,1048601.459999999962747,1013062.959999999962747,928365.089999999967404,948870.110000000102445,1016549.379999999888241,919438.920000000041910,1002846.289999999920838,1025447.199999999953434,1074360.180000000167638,1118832.799999999813735,11097433.989999998360872
20171211,1020552.599999999976717,1047945.450000000069849,1022490.560000000055879,932235.589999999967404,972537.910000000032596,1010120.659999999916181,919844.760000000009313,1003425.389999999897555,1038484.080000000074506,1085051.040000000037253,1123236.240000000223517,11175934.279999999329448
20171212,1014819.899999999906868,1045394.299999999930151,1021143.759999999892898,926507.250000000000000,977999.710000000079162,1007626.760000000009313,919033.079999999958090,997518.569999999832362,1042748.479999999981374,1089607.799999999813735,1120571.000000000000000,11162980.609999999403954
20171213,1018188.600000000093132,1082932.649999999906868,1027608.399999999906868,928442.500000000000000,979638.250000000000000,1014443.419999999925494,931411.199999999953434,1005162.689999999944121,1039946.159999999916181,1126938.180000000167638,1132854.280000000260770,11287576.330000001937151
20171214,1017893.099999999976717,1066240.839999999850988,1020874.399999999906868,925346.099999999976717,1006583.130000000004657,1009455.619999999878928,934049.160000000032596,1002788.379999999771826,1031904.719999999972060,1130969.160000000149012,1125553.839999999850988,11271668.450000001117587
20171215,1028235.599999999976717,1069229.330000000074506,1028685.839999999967404,926894.300000000046566,1012955.229999999981374,1011949.520000000018626,937295.880000000004657,1008116.099999999860302,1058222.159999999916181,1135525.919999999925494,1125322.080000000074506,11342441.959999999031425
20171218,1042715.099999999976717,1091679.450000000186265,1036497.279999999911524,926662.070000000065193,1010770.510000000009313,1023864.819999999832362,932019.959999999962747,1008926.839999999850988,1052495.679999999934807,1135876.439999999944121,1134476.600000000093132,11395994.750000000000000
20171219,1031604.299999999930151,1099988.910000000149012,1031648.799999999930151,927745.810000000055879,1017870.850000000093132,1030792.319999999832362,936078.360000000102445,1004236.129999999771826,1045794.479999999981374,1125886.620000000111759,1144905.799999999813735,11396562.380000002682209
20171220,1030481.400000000023283,1111724.200000000186265,1043500.640000000013970,935873.859999999986030,998572.489999999990687,1038163.179999999934807,935063.760000000009313,997171.109999999869615,1042017.439999999944121,1114494.720000000204891,1144326.399999999906868,11391399.199999999254942
20171221,1034382.000000000000000,1127176.879999999888241,1037844.080000000074506,966295.989999999990687,997480.130000000004657,1042430.520000000018626,925323.600000000093132,995317.989999999874271,1041773.760000000009313,1135175.399999999906868,1136330.680000000167638,11439541.029999999329448
20171222,1034382.000000000000000,1135267.669999999925494,1038382.799999999930151,967534.550000000046566,989287.430000000051223,1042707.619999999878928,925120.680000000051223,992827.859999999869615,1041895.600000000093132,1109236.919999999925494,1138068.879999999888241,11414722.009999997913837
20171226,1008141.599999999976717,1140297.080000000074506,1036497.279999999911524,975275.550000000046566,984280.780000000027940,1055066.280000000027940,929584.920000000041910,992075.029999999795109,1040555.360000000102445,1115546.279999999795109,1149077.479999999981374,11426407.639999998733401
20171227,1008318.900000000023283,1148169.200000000186265,1038652.160000000032596,971946.919999999925494,979911.340000000083819,1054124.139999999897555,932019.959999999962747,1000066.609999999869615,1044332.399999999906868,1103278.080000000074506,1150236.280000000260770,11431065.990000002086163
20171228,1011155.700000000069849,1154729.299999999813735,1039460.240000000107102,972179.150000000023283,981094.729999999981374,1051851.919999999925494,927758.640000000013970,1002556.739999999874271,1044454.239999999990687,1103278.080000000074506,1151858.600000000093132,11440387.339999999850988
20171229,1000222.199999999953434,1148606.540000000037253,1031648.799999999930151,969160.160000000032596,978727.950000000069849,1050466.419999999925494,931005.360000000102445,996881.559999999939464,1042261.120000000111759,1096267.680000000167638,1144326.399999999906868,11389584.189999999478459
20180102,1018129.500000000000000,1144670.479999999981374,1046732.959999999962747,987661.150000000023283,1017779.820000000065193,1042153.419999999925494,924106.079999999958090,1003251.659999999916181,1047256.560000000055879,1112742.120000000111759,1142472.319999999832362,11486966.070000000298023
20180103,1017952.199999999953434,1146419.839999999850988,1055083.120000000111759,994860.279999999911524,1022149.260000000009313,1047584.579999999841675,922076.880000000004657,999024.229999999981374,1052130.159999999916181,1112566.859999999869615,1152438.000000000000000,11522295.410000000149012
20180104,1022680.200000000069849,1162164.080000000074506,1050234.640000000130385,991763.880000000121072,1021694.110000000102445,1055897.579999999841675,935063.760000000009313,1006031.339999999850988,1061390.000000000000000,1111865.819999999832362,1153480.919999999925494,11572276.330000000074506
