訓練日期,20130726 - 20131025
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11401717.759999999776483
真實報酬,1401717.759999999776483

夏普值報酬,0.131471776000000
夏普值風險,0.036298580831417
夏普值,3.621953613299682

預期報酬,20900.635639780066413
風險,113439.000831097582704
趨勢值,0.184245590023308
找到最佳解世代,2275
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](4),BA[2](5),DD[7](1),NKE[19](2),UNH[23](16),
Stock#,AAPL[0](4),BA[2](5),DD[7](1),NKE[19](2),UNH[23](16),
張數,31928,18744,40136,64000,27540,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,30.080000000074506,15.199999999953434,23.120000000111759,0.000000000000000,45.199999999953434,
20130726,2011494.080000000074506,1979381.599999999860302,1983544.240000000223517,2001280.000000000000000,1988708.599999999860302,9964408.519999999552965
20130729,2042464.239999999990687,1964573.840000000083819,2000401.360000000335276,2007040.000000000000000,2004681.800000000046566,10019161.240000000223517
20130730,2067687.360000000335276,1981818.320000000065193,2004013.600000000093132,2011520.000000000000000,1990360.999999999767169,10055400.280000001192093
20130731,2064175.280000000260770,1970009.599999999860302,2002809.520000000018626,2013440.000000000000000,2006334.199999999720603,10056768.599999999627471
20130801,2083012.799999999813735,2000000.000000000000000,2023278.879999999888241,2111360.000000000000000,2014871.599999999860302,10232523.279999999329448
20130802,2109832.319999999832362,2022492.800000000046566,2070238.000000000000000,2121600.000000000000000,1990085.600000000093132,10314248.720000000670552
20130805,2141121.760000000242144,2014995.199999999953434,2085088.320000000298023,2124800.000000000000000,2019828.800000000046566,10385834.080000000074506
20130806,2121964.959999999962747,2006372.959999999962747,2061006.720000000204891,2129280.000000000000000,2017074.799999999813735,10335699.440000001341105
20130807,2121007.120000000111759,1994751.679999999934807,2074251.600000000093132,2100480.000000000000000,2008262.000000000000000,10298752.400000000372529
20130808,2102808.160000000149012,1983880.159999999916181,2109571.280000000260770,2113920.000000000000000,2015422.400000000139698,10325602.000000000000000
20130809,2072795.840000000083819,1974320.719999999972060,2174190.240000000223517,2122240.000000000000000,2008537.400000000139698,10352084.200000001117587
20130812,2131862.640000000130385,1953889.759999999776483,2142081.439999999944121,2128640.000000000000000,1993665.800000000046566,10350139.640000000596046
20130813,2233074.399999999906868,1991190.320000000065193,2164958.959999999962747,2106240.000000000000000,2020104.199999999720603,10515567.879999998956919
20130814,2273622.959999999962747,1952390.239999999990687,2157734.479999999981374,2058880.000000000000000,1996419.799999999813735,10439047.480000000447035
20130815,2271068.719999999739230,1925586.320000000065193,2123618.879999999888241,2032000.000000000000000,1966401.200000000186265,10318675.120000001043081
20130816,2291183.360000000335276,1939456.879999999888241,2108367.200000000186265,2037120.000000000000000,1967227.400000000139698,10343354.839999999850988
20130819,2315767.919999999925494,1962886.879999999888241,2093516.879999999888241,2070400.000000000000000,1974938.599999999860302,10417510.279999999329448
20130820,2285436.319999999832362,1961199.919999999925494,2111979.439999999944121,2068480.000000000000000,1995593.599999999860302,10422689.279999999329448
20130821,2291502.640000000130385,1947704.239999999990687,2122816.160000000149012,2052480.000000000000000,1978794.199999999720603,10393297.239999998360872
20130822,2294056.879999999888241,1970759.359999999869615,2125625.680000000167638,2075520.000000000000000,1982099.000000000000000,10448060.919999999925494
20130823,2285117.040000000037253,1977132.320000000065193,2214326.240000000223517,2054400.000000000000000,1997796.800000000046566,10528772.400000002235174
20130826,2294056.879999999888241,1978069.520000000018626,2209108.560000000055879,2045440.000000000000000,1993390.399999999906868,10520065.360000001266599
20130827,2228604.479999999981374,1934583.439999999944121,2146897.760000000242144,2010240.000000000000000,1969705.999999999767169,10290031.679999999701977
20130828,2239140.719999999739230,1935708.079999999841675,2140476.000000000000000,2028160.000000000000000,1970256.800000000046566,10313741.599999999627471
20130829,2242652.799999999813735,1966823.120000000111759,2144489.600000000093132,2031360.000000000000000,1995042.799999999813735,10380368.320000000298023
20130830,2222218.879999999888241,1947891.679999999934807,2137666.479999999981374,2010240.000000000000000,1975764.799999999813735,10293781.839999999850988
20130903,2228604.479999999981374,1968322.640000000130385,2140074.640000000130385,2057600.000000000000000,1998347.600000000093132,10392949.359999999403954
20130904,2274580.799999999813735,1993814.479999999981374,2159339.919999999925494,2084480.000000000000000,2020104.199999999720603,10532319.399999998509884
20130905,2258936.080000000074506,1999062.800000000046566,2195462.320000000298023,2092159.999999999767169,2039106.800000000046566,10584728.000000000000000
20130906,2272345.840000000316650,1988191.279999999795109,2203890.879999999888241,2079360.000000000232831,2039657.600000000093132,10583445.599999999627471
20130909,2308743.760000000242144,2009184.559999999823049,2218339.840000000316650,2092800.000000000232831,2044890.199999999953434,10673958.359999999403954
20130910,2256062.560000000055879,2027553.679999999934807,2285366.959999999962747,2138240.000000000000000,2055355.399999999906868,10762578.599999999627471
20130911,2133459.040000000037253,2047422.320000000065193,2277741.120000000111759,2163200.000000000000000,2070502.400000000139698,10692324.880000000819564
20130912,2156127.919999999925494,2058106.399999999906868,2221149.360000000335276,2178560.000000000000000,2058384.799999999813735,10672328.480000000447035
20130913,2120368.560000000055879,2086784.719999999972060,2278945.200000000186265,2173440.000000000000000,2051224.400000000139698,10710762.880000000819564
20130916,2053000.479999999981374,2168133.679999999701977,2274931.600000000093132,2182400.000000000000000,2068850.000000000000000,10747315.759999999776483
20130917,2076946.479999999981374,2195125.040000000037253,2269713.919999999925494,2186240.000000000000000,2046542.600000000093132,10774568.039999999105930
20130918,2119410.719999999739230,2219304.799999999813735,2335536.959999999962747,2223360.000000000000000,2011566.800000000046566,10909179.280000001192093
20130919,2154212.240000000223517,2231300.959999999962747,2321088.000000000000000,2224000.000000000000000,1950978.800000000046566,10881580.000000000000000
20130920,2131862.640000000130385,2186127.919999999925494,2269312.560000000055879,2220160.000000000000000,1943542.999999999767169,10751006.120000001043081
20130923,2237863.600000000093132,2202622.639999999664724,2242822.800000000279397,2207360.000000000000000,1977967.999999999767169,10868637.040000000968575
20130924,2230839.440000000409782,2230551.200000000186265,2235598.320000000298023,2222080.000000000000000,1991737.999999999767169,10910806.960000000894070
20130925,2196357.200000000186265,2221366.639999999664724,2278142.479999999981374,2205440.000000000000000,1982374.400000000139698,10883680.720000000670552
20130926,2217748.959999999962747,2237673.919999999925494,2285768.320000000298023,2250880.000000000000000,1987331.599999999860302,10979402.799999998882413
20130927,2201784.959999999962747,2225677.759999999776483,2230380.640000000130385,2356480.000000000000000,1982649.799999999813735,10996973.160000000149012
20130930,2174646.160000000149012,2202435.200000000186265,2195060.959999999962747,2324480.000000000000000,1972184.599999999860302,10868806.919999999925494
20131001,2225730.959999999962747,2207121.200000000186265,2189843.280000000260770,2317440.000000000000000,1998898.399999999906868,10939033.840000001713634
20131002,2233074.399999999906868,2208808.160000000149012,2211918.080000000074506,2300800.000000000000000,1998622.999999999767169,10953223.640000000596046
20131003,2204977.760000000242144,2160073.759999999776483,2215931.680000000167638,2292480.000000000000000,1997245.999999999767169,10870709.199999999254942
20131004,2203062.080000000074506,2196812.000000000000000,2285768.320000000298023,2308480.000000000000000,2010189.799999999813735,11004312.199999999254942
20131007,2224773.120000000111759,2187252.559999999590218,2249244.560000000055879,2282880.000000000000000,1987607.000000000000000,10931757.240000000223517
20131008,2193802.959999999962747,2163822.559999999590218,2201884.080000000074506,2248960.000000000000000,1968604.400000000139698,10777074.000000000000000
20131009,2219345.360000000335276,2145640.879999999888241,2224761.600000000093132,2268800.000000000000000,1965850.399999999906868,10824398.240000000223517
20131010,2233393.680000000167638,2228676.799999999813735,2309047.200000000186265,2350080.000000000000000,2037454.400000000139698,11158652.080000000074506
20131011,2247761.280000000260770,2211432.320000000298023,2347577.760000000242144,2350720.000000000000000,2045440.999999999767169,11202932.360000001266599
20131014,2262448.160000000149012,2239173.439999999478459,2333128.800000000279397,2369920.000000000000000,2057834.000000000000000,11262504.400000000372529
20131015,2274580.799999999813735,2215181.120000000111759,2311054.000000000000000,2358400.000000000000000,2034425.000000000000000,11193640.919999999925494
20131016,2285755.600000000093132,2255668.160000000149012,2350788.640000000130385,2384640.000000000000000,2070777.799999999813735,11347630.199999999254942
20131017,2301081.040000000037253,2292218.959999999962747,2365638.959999999962747,2385280.000000000000000,1965575.000000000000000,11309793.960000000894070
20131018,2321195.680000000167638,2296530.080000000074506,2361224.000000000000000,2430080.000000000000000,1893695.600000000093132,11302725.359999999403954
20131021,2378027.520000000018626,2276848.879999999888241,2364033.520000000018626,2435200.000000000000000,1878273.199999999953434,11332383.119999999180436
20131022,2371322.640000000130385,2295780.320000000298023,2374870.240000000223517,2430720.000000000000000,1896449.599999999860302,11369142.800000000745058
20131023,2394310.799999999813735,2418366.080000000074506,2345570.959999999962747,2417920.000000000000000,1873040.600000000093132,11449208.439999999478459
20131024,2426238.799999999813735,2417616.319999999366701,2321890.720000000204891,2416640.000000000000000,1862024.599999999860302,11444410.439999999478459
20131025,2399100.000000000000000,2459040.559999999590218,2258877.200000000186265,2422400.000000000000000,1862300.000000000000000,11401717.759999999776483
